,Time,Open,High,Low,Close,Volume,QuoteAssetVolume,NumberOfTrades,ID_Coin,Pt-1,Pt+1buyHigh,Pt+5c,Pt+10c,Time_human
492,1656268080000,0.22215000,0.22924,0.22215000,0.22829,331648.0,74886.56270400,447,MIRUSDT,0.22274,0.23177,0.23913,0.24993,2022-06-26 18:28:00
493,1658305800000,0.20158000,0.2062,0.20130000,0.2062,153117.8,31111.00959000,261,MIRUSDT,0.2012,0.20688,0.22299,0.2337,2022-07-20 08:30:00
494,1658310360000,0.21312000,0.21582,0.21311000,0.21579,100719.1,21573.45778800,144,MIRUSDT,0.21332,0.22072,0.23429,0.254,2022-07-20 09:46:00
495,1658311740000,0.25458000,0.26004,0.25304000,0.2575,908061.4,232882.97748700,1299,MIRUSDT,0.25463,0.26,0.27118,0.2936,2022-07-20 10:09:00
496,1659289920000,0.23281000,0.236,0.23000000,0.236,355388.3,82832.91200200,435,MIRUSDT,0.233,0.2391,0.25158,0.26298,2022-07-31 17:52:00
497,1659359700000,5.68000000,5.84,5.59000000,5.8,20301.71,115462.51670000,401,BARUSDT,5.68,5.81,5.99,6.2,2022-08-01 13:15:00
498,1659361920000,5.95000000,6.29,5.94000000,6.2,45483.13,280010.35410000,601,BARUSDT,5.95,6.2,6.63,6.9,2022-08-01 13:52:00
499,1654860840000,3.63000000,3.7,3.63000000,3.7,10569.03,38805.10470000,132,FORTHUSDT,3.63,3.72,4.14,4.32,2022-06-10 11:34:00
500,1656750300000,2.81000000,2.91,2.81000000,2.85,26774.49,76897.12210000,176,FORTHUSDT,2.8,3.02,3.49,3.4,2022-07-02 08:25:00
501,1656752400000,3.43000000,3.62,3.41000000,3.6,15981.07,56188.22370000,297,FORTHUSDT,3.41,3.73,4.18,4.05,2022-07-02 09:00:00
502,1656769860000,3.95000000,4.15,3.95000000,4.11,22905.5,93344.03160000,260,FORTHUSDT,3.95,4.15,4.31,4.4,2022-07-02 13:51:00
503,1657104480000,3.85000000,3.93,3.85000000,3.92,10980.77,42786.55180000,150,FORTHUSDT,3.84,3.97,4.17,4.36,2022-07-06 10:48:00
504,1657573320000,3.47000000,3.58,3.47000000,3.53,24851.78,87703.38720000,342,FORTHUSDT,3.47,3.63,3.76,3.9,2022-07-11 21:02:00
