,Time,ID_Coin,Time_human,Open,High,Low,Close,NumberOfTrades,Pt+10c,Pt+1buyHigh,Pt+5c,Pt-1,Pt3 +0,Pt3 +12,Pt3 +3,Pt3 +6,Pt3 +9,Pt3 -12,Pt3 -15,Pt3 -3,Pt3 -6,Pt3 -9,QAVol3 +0,QAVol3 +12,QAVol3 +3,QAVol3 +6,QAVol3 +9,QAVol3 -12,QAVol3 -15,QAVol3 -3,QAVol3 -6,QAVol3 -9,QuoteAssetVolume,Trades3 +0,Trades3 +12,Trades3 +3,Trades3 +6,Trades3 +9,Trades3 -12,Trades3 -15,Trades3 -3,Trades3 -6,Trades3 -9,Volume,Vt3 +0,Vt3 +12,Vt3 +3,Vt3 +6,Vt3 +9,Vt3 -12,Vt3 -15,Vt3 -3,Vt3 -6,Vt3 -9,mfi3 +0,mfi3 +12,mfi3 +3,mfi3 +6,mfi3 +9,mfi3 -12,mfi3 -15,mfi3 -3,mfi3 -6,mfi3 -9,rsi3 +0,rsi3 +12,rsi3 +3,rsi3 +6,rsi3 +9,rsi3 -12,rsi3 -15,rsi3 -3,rsi3 -6,rsi3 -9,vwap3 +0,vwap3 +12,vwap3 +3,vwap3 +6,vwap3 +9,vwap3 -12,vwap3 -15,vwap3 -3,vwap3 -6,vwap3 -9
181,1655043720000,ADAUPUSDT,2022-06-12 14:22:00,1.287,1.3,1.283,1.3,47,1.424,1.306,1.359,1.285,1.364,1.417,1.38,1.424,1.393,1.299,1.321,1.301,1.276,1.266,61311.15809000,64635.63712000,63061.84321000,67630.29081000,36756.48617000,8699.86389000,9446.83760000,40923.89095000,31200.33617000,63489.09293000,15363.13815,203,178,313,363,185,146,49,112,102,238,11932.04,45451.72,45762.36,45935.74,47795.45,26084.49,6644.38,7155.32,31790.78,24569.42,49743.15,61.22752691561388,59.07852758573999,61.61852629755137,62.506458174088664,53.14530931503045,51.0837461278082,51.34935144715814,57.18054375757282,55.04088582191569,64.86666409455401,60.75105152800964,65.51181243227884,63.92930617132437,70.90641219972662,61.83183020586573,32.256088221779706,41.36170212765955,42.09712858408268,29.80376427244039,23.79433517873126,1.3261084944169337,1.4082462877634856,1.363245229195924,1.3975469503445614,1.4119788534839992,1.313456699300226,1.3182671886723578,1.2847427491977197,1.2756802200040538,1.280632691187809
182,1655318280000,ADAUPUSDT,2022-06-15 18:38:00,1.184,1.227,1.184,1.227,120,1.305,1.229,1.316,1.176,1.266,1.254,1.33,1.265,1.286,1.164,1.153,1.227,1.167,1.145,83348.97869000,62622.95484000,96121.06723000,104510.30638000,55741.36230000,16794.57315000,11894.57371000,50745.27851000,26237.96758000,32295.93701000,26073.50301,766,280,766,579,280,75,43,194,77,161,21664.35,66935.68,49802.68,73540.12,78674.48,43219.48,14418.88,10436.35,42675.46,22663.71,27853.07,67.95374619103696,57.036177367164505,70.0976986739557,71.0666687715712,55.44291028230289,51.76848923132398,50.1893557875027,61.21833187714381,54.288379888285,56.46559444488684,69.22899571053733,59.03786349288729,74.92216277675989,62.31245105133896,64.39727194573061,55.23373211455369,53.03523837725793,64.69357542211662,55.276566952339934,50.80944633164177,1.2359785836853199,1.2715312706850355,1.2843320856688485,1.3051309469656658,1.2937784626353377,1.1556557002288856,1.140941612548031,1.1900172650902465,1.1557260654116648,1.1570854119575749
183,1655179620000,ADADOWNUSDT,2022-06-14 04:07:00,0.006193,0.006268,0.006187,0.006256,143,0.006729,0.0063,0.006439,0.006187,0.006389,0.006728,0.006502,0.006729,0.006716,0.006384,0.006378,0.006297,0.006217,0.006303,18289.81944297,30820.63151307,23825.84136881,48793.27919348,27005.38174712,28916.86061014,33600.73419496,29990.75924557,46084.41083192,42834.92771932,9618.16982234,83,204,101,356,281,197,131,359,308,198,1541569.74,2883303.11,4574000.95,3690151.02,7348312.43,4007722.15,4549089.56,5209444.09,4819084.47,7383196.89,6725637.22,45.68892401040998,49.50577925711171,47.485686452741646,54.74423126623869,48.420939674832105,49.08180137669144,50.360332252208956,48.974058870599315,53.8779344292716,52.959468496527755,36.913545426000134,53.59718758781192,43.39147142042303,53.68091577191243,53.08581471489066,29.844697500350236,29.42946872546456,30.938897422155605,25.220472894030422,27.4928843614787,0.006286170224382987,0.006727023695682201,0.0064262244104201765,0.00659671468611059,0.006682527564233897,0.006388904772141663,0.0064718424920394224,0.00624039493307258,0.006292754454871584,0.006349725221032213
184,1655316060000,ADADOWNUSDT,2022-06-15 18:01:00,0.005851,0.006012,0.005845,0.006,669,0.00672,0.006118,0.006604,0.005845,0.00647,0.006343,0.006647,0.00672,0.006554,0.006318,0.006378,0.006093,0.005906,0.006133,98141.56473334,58344.51708585,71987.69957059,62416.12917929,53807.15748435,18536.23275729,15339.16011296,223937.32738272,73202.68146773,67381.93223241,130002.25562576,780,388,510,426,380,114,71,1533,385,605,21926189.69,15397943.29,9013073.2,10924715.66,9358084.21,8153909.07,2926660.81,2396739.19,37527158.43,12184690.87,11002508.47,57.70854328764481,51.97279523507551,53.96916749255762,52.612043907211536,51.37077244740826,52.42662825243135,51.23943069080626,83.64070579776461,67.17219133542807,66.10992529822829,57.638251700775456,49.406935859094126,63.220195166035886,65.25374065696509,57.47209562244066,47.9359482885265,54.684095860566465,39.46898678386236,24.567159883652266,34.00293384421768,0.006132750542847076,0.006501913105980432,0.006486364555835776,0.006632631324828201,0.0066260890891820115,0.006358165218794379,0.006389282584763134,0.006010806809156532,0.006059530379116497,0.006188716101976804
185,1660890720000,ADADOWNUSDT,2022-08-19 06:32:00,0.00421,0.004274,0.00421,0.00426,103,0.004618,0.004265,0.004406,0.0042,0.004309,0.004567,0.004639,0.004565,0.004579,0.00412,0.004124,0.00426,0.004141,0.004145,24863.44004849,44361.86518857,109075.74121958,89294.36256350,36366.27695627,2922.94123928,6820.45269195,35363.58516145,6064.27327744,1990.59670057,17603.11997041,575,575,1266,1541,508,102,218,295,30,13,4142625.22,5791339.27,9590791.66,24370051.17,19479888.76,7927730.22,708078.1,1654825.93,8375211.64,1462207.22,480161.03,62.38325656254614,55.57225920426725,83.84250798706994,72.47320056827394,53.701446645015345,45.73994647250421,51.180814142589114,73.53652070378544,50.69739895393127,44.52629190813062,81.80569410753242,79.79501056252735,91.67835369985997,81.05674508932367,81.49358939738282,56.21095783446134,57.682291666666664,78.24748130983178,61.08502963533713,62.62730472821728,0.004253752531079093,0.004591694019704971,0.004482786623415805,0.004534589250146931,0.004553019173499422,0.004122133557100075,0.004120870217693817,0.004213009925764883,0.004143921326813286,0.004130152653515124
186,1655043660000,LINKUPUSDT,2022-06-12 14:21:00,0.01364,0.01381,0.01364,0.01381,273,0.0149,0.01387,0.0144,0.01367,0.0144,0.01485,0.01455,0.015,0.01469,0.01396,0.01416,0.01394,0.01367,0.0136,58874.85456200,41446.42148120,34219.36712490,115168.80130370,107242.49176010,9751.13541200,16387.01046130,36029.97489830,49195.35800260,60125.26882280,19268.0115309,526,141,176,478,227,35,40,544,166,288,1402287.74,4110174.9,2792766.42,2370664.69,7712450.51,7211646.76,694675.06,1157307.22,2609583.24,3604997.34,4367788.32,61.78548300587394,51.18765050214998,53.5279962082869,68.51992466720267,66.08279646968617,49.2983735051036,52.29256061018511,55.94327623079826,60.94228431915902,65.39652390173191,58.835493842110566,63.42120408018127,62.20256110476759,70.10316135527415,60.691628384925544,39.232010233156466,48.868330715075416,44.8440006424681,32.3030128159413,28.382835578109194,0.014128578166029051,0.014800235626373837,0.014369176599205617,0.014835181662369584,0.014869239348516163,0.014110401949598209,0.01415173451426261,0.013739249558720823,0.013696841392347175,0.013769336617160214
187,1655315400000,LINKUPUSDT,2022-06-15 17:50:00,0.01178,0.01194,0.01178,0.01192,50,0.01293,0.01203,0.0126,0.01179,0.01209,0.01167,0.01251,0.01273,0.01247,0.01182,0.01188,0.01192,0.01195,0.01185,28933.82040060,89542.24348690,84468.26867020,57003.59520080,128077.41998010,22485.83851590,27703.88001410,19384.88492270,24924.14230050,19180.53734900,5320.3485967,226,457,793,565,1120,91,185,103,135,102,448212.27,2403870.74,7462762.37,6754921.55,4525207.65,10186715.74,1891491.82,2326266.01,1632313.58,2089158.58,1615513.21,52.82088579751231,60.75337580660056,71.31447720476066,59.09450255236898,72.3603584140848,48.85158997134494,51.74695043412216,47.343089105540855,50.47672043444537,47.0879764246562,61.972858314181615,46.214864117377665,69.9885108295019,73.17782475127787,64.45951832308421,55.52665443693015,57.37403457153363,57.72956556526747,58.80481658235992,56.28458628949277,0.011989900536884632,0.01226193861844262,0.012355013636563212,0.012526861049339755,0.012545885239373855,0.011887233439621165,0.011874323381398632,0.011910993116319143,0.011902381943007878,0.011864868844114545
188,1655317980000,LINKUPUSDT,2022-06-15 18:33:00,0.01158,0.01179,0.01151,0.01178,148,0.01425,0.01196,0.01275,0.01159,0.01275,0.01467,0.01344,0.01484,0.01396,0.01185,0.01158,0.01196,0.01159,0.01211,78766.67397920,76493.91469530,131976.77679010,157897.20859520,197251.21090210,29784.20900020,40673.12711510,57531.51478720,56548.93169220,61120.66904320,17830.373225,391,1065,1165,1555,1068,243,236,321,306,293,1527628.21,6430300.09,5272050.94,10159710.08,11169276.43,13402605.53,2544150.05,3460505.67,4866027.45,4759049.25,5069308.78,58.200994443702534,51.20496968545231,66.04234571685811,69.23231093858638,72.56424161069168,48.95973412872717,51.01649239062012,53.98305444275083,53.70544586241426,54.750198092810045,60.372016630892674,67.90442988464638,66.27477721403567,74.55611139524228,63.92968229247961,49.741850269846175,45.26736756596316,51.312343483494125,45.93707658591564,53.669708439419,0.012199030483081526,0.014450351383693572,0.012883434188260455,0.01379474094383806,0.014418787424548303,0.011718755107722759,0.011789506467565736,0.011803555623925575,0.011915717866222258,0.011944206086797303
189,1655382000000,LINKUPUSDT,2022-06-16 12:20:00,0.01147,0.01168,0.01147,0.01168,67,0.01259,0.01171,0.01246,0.01146,0.01178,0.01253,0.01233,0.01237,0.01241,0.0119,0.01184,0.01168,0.01153,0.01177,18520.66025930,50978.55491900,44055.68568030,32900.30199980,67760.93420410,28172.69247270,20912.09877030,25026.80071810,19880.10085300,24376.73551980,7748.6818037,210,501,366,310,596,384,297,347,137,384,670876.06,1585672.87,4052876.13,3589459.28,2653503.57,5467767.21,2376527.02,1770272.83,2179273.05,1711703.28,2060735.23,46.08287959531202,57.398672370037396,58.98577658021467,52.993554615618685,64.97305118704355,51.315633983765814,47.139837802909085,49.90380835795398,46.58267986276917,49.09210725164331,53.27871917783107,72.13942990606401,68.25348832309848,69.03090856688272,69.82664299438483,60.9217035921704,58.28358208955224,49.2360099921819,42.27944521341108,53.088097469540735,0.011642822333660504,0.012469462789496745,0.012096854700312663,0.012314338030309867,0.01238782176653393,0.01185150095847203,0.011826666666666666,0.011595464989425933,0.011717739693389994,0.011842135044801558
190,1655316060000,LINKDOWNUSDT,2022-06-15 18:01:00,0.018499,0.019044,0.01829,0.018687,215,0.0203,0.018917,0.019953,0.018499,0.019639,0.019459,0.020253,0.0203,0.019938,0.019127,0.019353,0.018787,0.018622,0.018727,65902.09843226,42016.96072897,76204.90804618,82049.53776342,56479.84894174,17020.88094821,13685.31730735,64363.00621111,35972.19941783,44606.77362464,23733.59557135,452,251,519,900,418,83,75,593,368,316,1272891.29,3415877.49,2139276.31,3811019.22,4053456.55,2815879.42,885621.97,704244.71,3437250.44,1930183.46,2391361.61,65.61434645916947,51.39657097955059,68.35905439614896,69.81988485183822,57.01054666941255,47.318107867916936,45.31042009414602,65.06549602624898,55.626490161009805,60.39580725718657,53.12057798003217,47.88610354466617,61.814280132295295,62.38925467762824,55.462320392707284,36.12040645205691,40.71708683473389,33.65936285640504,28.307285322538263,29.72430245564078,0.019030082913349806,0.019832788333512843,0.019720030307808282,0.020133549605530373,0.02012986374129065,0.01927361186313224,0.01936089015803759,0.018649503706839623,0.018669088031793533,0.018854533835149703
191,1657209840000,VTHOUSDT,2022-07-07 16:04:00,0.001603,0.001625,0.001598,0.001625,106,0.001953,0.00172,0.001833,0.001603,0.001851,0.00171,0.00196,0.001953,0.001693,0.00159,0.001594,0.001716,0.001612,0.001598,660962.20469200,231326.82326800,668055.69377800,830956.38524200,716337.11549400,8877.43984800,17332.87893200,165658.08929800,77763.73665100,22385.55167000,18722.116366,3734,1208,3363,4388,4152,79,139,800,297,101,11645054.0,372473664.0,136077640.0,360087423.0,422214022.0,387866567.0,5590941.0,10909036.0,99806965.0,48298152.0,14012553.0,93.00208760915022,50.783962211593234,93.16388255297939,94.40470747427355,80.51512642760429,44.12301898534584,47.36332287339517,77.96653209100762,65.88410797461219,49.98002048138367,89.42708055088175,54.78813816185431,92.12046712779093,90.52557510481135,53.48553289781515,61.10998252955756,63.120567375886466,82.57834970618893,67.53494071703099,63.60679806154053,0.0017702177659164589,0.0017838550741784106,0.0018484315661882816,0.0019355888292251163,0.0018900910702733388,0.001590542694110018,0.001591587301231856,0.0016546509699999087,0.0016103189489189698,0.0015935270587477928
192,1658648220000,VTHOUSDT,2022-07-24 07:37:00,0.002223,0.002298,0.002223,0.00228,462,0.002465,0.002288,0.002347,0.002223,0.00227,0.002465,0.002328,0.002465,0.002544,0.002156,0.002171,0.00223,0.002227,0.002178,149476.80477200,375783.59799300,314751.94446500,659439.52787300,460348.52195300,97301.61865600,178098.83108200,179232.57718200,135935.34667000,125400.70566800,66343.58794,728,1999,1599,2483,2244,575,1211,1088,950,798,29490212.0,66122159.0,152721934.0,134456892.0,270584200.0,183229429.0,45243991.0,81235344.0,80080509.0,62906391.0,57358459.0,54.61619648630036,58.25983936977503,62.391662782475414,72.90913602593407,62.32486612641346,52.44943345319808,56.965644325888334,56.59742336523877,54.45808447605083,53.816812296251214,83.90973936683969,78.97946126014268,86.42080962847362,90.2796381195858,91.73769375341277,76.88510308779402,80.71334214002648,81.74834196283923,81.57598356880061,78.49607359158425,0.0022492831346461258,0.002498481753757116,0.0023057994617327548,0.0023944708021838607,0.0024676383914272737,0.002172815873844794,0.002205533795909585,0.0022176293733481888,0.0021861845238072474,0.0021693590308158673
193,1660017060000,DGBUSDT,2022-08-09 03:51:00,0.01373,0.01387,0.0136,0.01387,358,0.01498,0.0141,0.01459,0.01372,0.01459,0.01422,0.01455,0.01525,0.01573,0.01318,0.01305,0.01358,0.01372,0.0133,1146811.87601500,1534309.49311100,1943015.36020200,811255.58754900,1731103.19555700,69151.37485800,12097.95478900,337691.52475200,277302.84668100,40527.55617400,49553.322305,6943,5487,10570,4160,6963,458,52,1786,1585,214,3616601.3,81699430.7,104627903.0,131228783.7,54217061.0,103686379.8,5249051.5,929158.6,24413812.0,20406504.3,3061981.7,90.15110787034618,65.70127844900387,93.88301601277831,59.10727758817521,68.81854218489462,58.41748575088308,50.771694827044136,75.38419919853114,72.74372671606739,53.9019538762529,91.6383797777179,59.45159422326483,89.75514490884831,92.6152671997431,93.8774903516144,90.83868969255784,88.36660438587859,83.54170571118917,95.43636750409753,92.43643052273127,0.01415139454387817,0.015559461435878713,0.014636953451039068,0.014937398022185685,0.015972492950890354,0.013149446311049433,0.012994815279562972,0.013682627219128602,0.013563030058607104,0.013199473896939791
